,book_to_market,market_cap,beta,discr_r
2020-08-31,0.9761371849216852,66327093.333333336,0.6027545435078607,-0.034615384615384714
2020-08-31,0.9065807718071953,10011607797.652405,1.4148397537657318,0.02901889897738652
2020-08-31,1.5442750550524533,2866307038.328535,1.2038887606614601,0.0053547515016409974
2020-08-31,0.47393561999344314,399880765.95505714,1.0449259045554449,0.1123427804543975
2020-08-31,0.1693936189201991,1060710163.0077788,1.1380550196272317,-0.09964416370106799
2020-08-31,1.2397009997144322,27131005.31857143,1.1809673089301018,-0.12396694214876014
2020-08-31,1.3348922251335693,96668728.94983333,1.0780277471315356,0.00025189912892975563
2020-08-31,0.998003138439285,150735496.74899107,0.40600152604114387,-0.03485449438057164
2020-08-31,0.1227901483691244,11212546554.510271,1.258205471027956,0.03554839397891518
2020-08-31,0.14672844341735805,31324986.01819579,0.3466885317998899,0.1372549634755873
2020-08-31,0.5893435090525566,4246847358.638648,0.9111231028869191,-0.02886186112190603
2020-08-31,0.29087288956841284,117646481.9704762,1.7044076121945062,0.09248554913294771
2020-08-31,1.0383645676940023,47565472.0,0.7591554618354653,0.09411764705882364
2020-08-31,0.605258291407609,8265165758.476191,1.2358121055860163,0.09338168631006294
2020-08-31,1.2059737972680942,666299901.4285715,1.3141307100017818,0.35098650051921054
2020-08-31,1.185641975319876,159031909.28773427,1.3228268327223862,0.07837848110078505
2020-08-31,-0.016187034151620722,1143911256.0608,1.174271764330028,0.15344466160126058
2020-08-31,0.7986199090036088,345375475.8752381,1.0402069459597658,0.04564564564564577
2020-08-31,0.48368825352599626,114222115.07428572,0.5622027711985608,-0.30612244897959195
2020-08-31,0.0770803858467347,135616008.4067662,-0.6762338120724081,4.6179773176787515
2020-08-31,0.9177784469820978,6503770036.388473,0.6444600988280913,0.021442459991112717
2020-08-31,-5.152072491515405,11291626.533397047,-1.2139797441978024,170.49999625000004
2020-08-31,0.1586695793310115,183260103117.33334,0.8884143260156032,0.03887711383782344
2020-08-31,-0.033334416200290526,557354697.9114397,0.8043887392269008,-0.027051210030674566
2020-08-31,0.7299206095238504,91158871.42857143,0.5098604211378537,-0.26490066225165565
2020-08-31,-0.4252020281138308,1659233736.442,1.4171738900886635,-0.08921644685802965
2020-08-31,2.684388150645578,31391940.428035825,2.0754880737968087,-0.05607481046379392
2020-08-31,0.4308466801661455,235434571.57238096,0.5449367243236166,-0.029900332225913484
2020-08-31,0.023633352932181655,52157099312.881905,1.2814103183781163,0.0494814208956309
2020-08-31,0.2941893297054415,26298078.024186514,0.1060888833452151,-0.6941789801185234
2020-08-31,0.6155428274989363,16986839.247619048,1.0546033261880159,-0.22828282828282842
2020-08-31,0.8170179689335115,3760994802.285714,1.014408093402881,0.005987601143738752
2020-08-31,0.06079172668980806,3856438280.153333,1.07969401255342,-0.28943805010155743
2020-08-31,0.18219239207753307,54764719.190476194,0.5361897099313515,-0.09124767225325892
2020-08-31,0.2429218735798147,14936996849.210953,0.9119334462238755,0.11115826237361293
